Year,Month,Rent_Hong_Kong,Rent_Kowloon,Rent_New_Territories,Price_Hong_Kong,Price_Kowloon,Price_New_Territories
2010,1,1015,972,747,283893,256572,158098
2010,2,985,1001,856,374744,209436,187398
2010,3,1395,1222,975,284753,319197,195321
2010,4,1027,1049,889,226829,271703,215611
2010,5,1266,1097,935,242536,301993,183090
2010,6,1332,1202,926,310642,251814,194599
2010,7,1440,1194,996,234583,285980,201656
2010,8,1262,1137,982,408475,265753,167272
2010,9,1339,1320,995,274434,295936,199173
2010,10,1225,1230,1014,284780,298159,188816
2010,11,1187,1341,978,412646,407240,209075
2010,12,1277,1301,939,274154,277961,239666
2011,1,1039,996,830,331526,355937,211455
2011,2,1245,1036,957,537609,350048,202751
2011,3,1230,1262,1040,384216,334518,248219
2011,4,1192,1057,984,392990,395589,283995
2011,5,1384,1236,1037,321200,391103,243341
2011,6,1450,1249,1098,434639,327275,312188
2011,7,1311,1277,1087,399478,282757,272101
2011,8,1439,1343,1080,446679,379350,250713
2011,9,1306,1417,1113,471671,228687,205221
2011,10,1280,1242,1041,478248,292821,188060
2011,11,1389,1465,1027,369572,482468,331077
2011,12,1295,1361,1078,568509,538450,288347
2012,1,1137,1235,864,309228,402247,160881
2012,2,1245,1261,1078,664266,304592,211852
2012,3,1555,1455,1234,639735,506971,288188
2012,4,1353,1296,1099,418258,436596,311375
2012,5,1456,1346,1236,459250,454303,282592
2012,6,1489,1690,1212,517191,443989,291524
2012,7,1603,1389,1201,485276,426777,292837
2012,8,1407,1339,1177,426612,429680,289681
2012,9,1733,1589,1250,504662,427209,349717
2012,10,1487,1524,1258,522450,437840,321290
2012,11,1633,1646,1043,507749,517822,357318
2012,12,1450,1539,1107,433457,448918,360797
2013,1,1297,1334,919,547133,396516,387794
2013,2,1288,1206,1189,505915,513174,377482
2013,3,1754,1547,1109,611711,447625,353635
2013,4,1393,1373,1176,522757,385033,204261
2013,5,1639,1385,1155,422778,356261,257508
2013,6,1604,1416,1234,330516,418145,410698
2013,7,1616,1555,1227,665084,593362,348074
2013,8,1546,1631,1207,429936,405350,322626
2013,9,1618,1695,1216,526425,328878,423777
2013,10,1368,1400,1266,527919,387876,366180
2013,11,1759,1705,1169,597525,419578,436247
2013,12,1501,1343,1068,356256,458732,292804
2014,1,1232,1401,1073,763571,437297,375731
2014,2,1559,1360,1125,507753,495480,446508
2014,3,1725,1629,1218,546391,441660,487774
2014,4,1648,1441,1219,386764,369397,407947
2014,5,1574,1430,1298,387316,475167,369148
2014,6,1887,1548,1288,446014,329482,286760
2014,7,1699,1452,1223,342918,349556,353402
2014,8,1551,1463,1335,388295,485307,362529
2014,9,1818,1665,1326,378716,387921,415287
2014,10,1546,1643,1255,571173,467126,258531
2014,11,1456,1827,1202,435310,491165,359466
2014,12,1669,1537,1284,438674,413716,487348
2015,1,1453,1497,1033,642365,358230,439290
2015,2,1355,1520,1318,409872,399922,356213
2015,3,1560,1774,1358,472611,462861,330603
2015,4,1683,1518,1361,555156,477722,328025
2015,5,1518,1575,1310,457014,376477,436987
2015,6,1796,1530,1343,539458,364351,412280
2015,7,1580,1498,1256,817901,391872,319986
2015,8,1781,1527,1288,469975,540594,261395
2015,9,1579,1515,1292,655026,449962,387031
2015,10,1618,1367,1291,437688,231156,318805
2015,11,1736,1350,1213,649839,445839,419437
2015,12,1514,1424,1225,361025,298474,370612
2016,1,1516,1174,1143,425890,463191,708985
2016,2,1464,1286,1223,464599,433441,226707
2016,3,1701,1448,1330,888210,330014,347135
2016,4,1518,1332,1276,359300,413074,350741
2016,5,1474,1333,1326,350826,342297,340558
2016,6,1432,1289,1448,513095,328254,400859
2016,7,1714,1186,1290,282890,340809,465329
2016,8,1402,1296,1336,517052,573514,434829
2016,9,1446,1547,1242,478929,357502,255569
2016,10,1414,1307,1259,470705,378523,493170
2016,11,1453,1576,1256,492334,471074,401414
2016,12,1381,1233,1383,389647,476088,392940
2017,1,1463,1282,1152,384780,357841,423087
2017,2,1476,1330,1210,529939,335551,298165
2017,3,1599,1455,1372,675458,299383,391562
2017,4,1620,1264,1303,455688,492611,426177
2017,5,1426,1450,1369,430574,385693,417289
2017,6,1584,1290,1351,517635,354524,438909
2017,7,1472,1271,1336,696957,406541,354989
2017,8,1572,1382,1375,418273,369818,319983
2017,9,1398,1624,1277,420152,429095,504227
2017,10,1470,1445,1450,468486,380443,275079
2017,11,1591,1561,1313,701148,353150,460931
2017,12,1478,1403,1246,615585,341376,387937
2018,1,1427,1328,1167,430806,537371,323440
2018,2,1461,1412,1283,436367,404305,466843
2018,3,1551,1578,1384,380580,511518,486844
2018,4,1411,1481,1262,656849,540651,348460
2018,5,1529,1373,1374,715553,392954,346066
2018,6,1574,1394,1398,468131,366529,397519
2018,7,1520,1301,1406,382839,537171,408229
2018,8,1692,1398,1386,446894,360223,603420
2018,9,1682,1597,1371,526729,421374,356483
2018,10,1535,1499,1347,578267,380800,316057
2018,11,1602,1369,1426,451404,294118,362343
2018,12,1383,1354,1297,463241,398940,357436
2019,1,1357,1345,1179,710901,394355,436568
2019,2,1504,1304,1470,520952,287613,268503
2019,3,1690,1591,1409,548966,420898,389167
2019,4,1750,1380,1353,477196,414128,339777
2019,5,1531,1397,1400,284772,371138,351026
2019,6,1736,1362,1400,498969,326930,288779
2019,7,1511,1340,1355,500770,346927,500095
2019,8,1537,1453,1387,649855,353335,652198
2019,9,1438,1448,1338,348148,543072,394418
2019,10,1391,1418,1324,709924,278221,395364
2019,11,1421,1297,1264,611661,462460,356524
2019,12,1221,1318,1273,333695,414008,339384
2020,1,1182,1210,1053,593236,284603,245277
2020,2,1280,1169,1166,426119,401857,306259
2020,3,1322,1129,1279,446465,339961,377091
2020,4,1144,1085,1076,404816,399570,444133
2020,5,1036,1176,1164,512103,627627,405860
2020,6,1249,1124,1252,614544,344210,436605
2020,7,1173,1117,1208,402504,389822,296271
2020,8,1137,1069,1129,405735,330234,310403
2020,9,1318,1121,1213,299516,417515,374617
2020,10,1149,1053,1102,418228,323553,394771
2020,11,1264,1160,1171,469377,378324,486232
2020,12,1253,1157,1180,411706,378554,418780
2021,1,1219,1033,1064,486679,444359,345336
2021,2,1135,1192,1244,449493,576579,443217
2021,3,1340,1152,1345,629964,401197,445447
2021,4,1272,1096,1217,433956,360144,461145
2021,5,1194,1098,1230,841004,397993,392366
2021,6,1358,1101,1246,461994,423292,369550
2021,7,1208,1030,1189,534866,376536,433129
2021,8,1282,1200,1193,820819,422468,435911
2021,9,1339,1123,1247,488126,364395,423847
2021,10,1131,1103,1244,721320,374214,402319
2021,11,1341,1224,1168,469362,405087,463943
2021,12,1270,1103,1181,372590,372273,352431
2022,1,1199,1088,1064,596401,406945,382744
2022,2,1278,1070,1183,652607,533522,367038
2022,3,1278,1115,1193,445732,425738,329184
2022,4,1066,1116,1076,407771,378317,310052
2022,5,1219,1051,1179,347841,319079,550326
2022,6,1244,1126,1228,384591,627952,323499
2022,7,1249,1049,1228,412987,402621,516722
2022,8,1212,1099,1139,569386,351831,298763
2022,9,1253,1110,1149,358716,246168,418510
2022,10,1067,1078,1216,436159,209374,199331
2022,11,1265,1232,1153,618109,286678,210584
2022,12,1042,1114,1217,565273,261113,463529
2023,1,1031,978,1025,541724,490620,500042
2023,2,1454,1125,1254,512867,412190,263102
2023,3,1307,1187,1267,387678,412678,377219
2023,4,1296,1184,1164,380100,409620,393806
2023,5,1216,1199,1187,846172,368203,480920
2023,6,1437,1170,1244,536640,406325,299937
2023,7,1257,1151,1202,534154,307026,275554
2023,8,1309,1164,1201,420686,361393,252223
2023,9,1334,1208,1255,287686,336683,229418
2023,10,1174,1143,1161,313675,241032,442932
2023,11,1236,1287,1174,569236,296290,244473
2023,12,1204,1210,1196,526521,229753,366464
2024,1,1116,1069,1008,506884,293845,453660
2024,2,1100,1104,1220,188145,366646,300417
2024,3,1141,1134,1235,300955,377608,366779
2024,4,1201,1038,1113,325080,393219,229875
2024,5,1099,1023,1174,331083,306766,327032
2024,6,1169,1123,1175,483706,210676,341507
2024,7,1215,1066,1121,470009,313692,212334
2024,8,1200,1045,1109,282932,325882,305811
2024,9,1303,1061,1080,210695,316661,303584
2024,10,1116,1222,1092,280970,300865,268939
2024,11,1106,1438,1109,200782,220072,322207
2024,12,1066,1068,1203,350286,231223,213410
2025,1,967,975,1052,376611,251695,314914
